SampleID	P(alleged label)	P(second best)	P(alleged label)-P(second best)
L1S155.274457	0.961325966850829	0.0386740331491713	0.922651933701657
L1S156.274463	0.973958333333333	0.0260416666666667	0.947916666666667
L1S157.273481	0.988636363636364	0.0113636363636364	0.977272727272727
L1S158.274569	0.989130434782609	0.0108695652173913	0.978260869565217
L1S159.273766	0.989189189189189	0.0108108108108108	0.978378378378378
L1S16.274184	0.994444444444444	0.00555555555555556	0.988888888888889
L1S160.274321	0.976047904191617	0.0239520958083832	0.952095808383234
L1S161.273299	0.964285714285714	0.0357142857142857	0.928571428571429
L1S162.273721	0.978947368421053	0.0210526315789474	0.957894736842105
L1S163.274658	1	0	1
L1S164.274254	0.974025974025974	0.025974025974026	0.948051948051948
L1S165.274417	0.964285714285714	0.0357142857142857	0.928571428571429
L1S166.274223	0.989189189189189	0.0108108108108108	0.978378378378378
L1S167.275065	0.984293193717278	0.0157068062827225	0.968586387434555
L1S168.274809	0.964071856287425	0.0359281437125748	0.92814371257485
L1S169.274242	0.977272727272727	0.0227272727272727	0.954545454545455
L1S17.274647	0.972222222222222	0.0277777777777778	0.944444444444444
L1S170.274450	0.977401129943503	0.0225988700564972	0.954802259887006
L1S171.273375	0.994186046511628	0.00581395348837209	0.988372093023256
L1S172.273802	0.922680412371134	0.077319587628866	0.845360824742268
L1S173.274765	0.971428571428571	0.0285714285714286	0.942857142857143
L1S174.274640	0.96195652173913	0.0380434782608696	0.923913043478261
L1S175.274934	0.961722488038278	0.0382775119617225	0.923444976076555
L1S176.274621	0.754010695187166	0.245989304812834	0.508021390374332
L1S177.273454	0.947976878612717	0.0520231213872832	0.895953757225433
L1S178.275068	0.965686274509804	0.0343137254901961	0.931372549019608
L1S179.273902	0.964071856287425	0.0359281437125748	0.92814371257485
L1S18.273422	0.954022988505747	0.0459770114942529	0.908045977011494
L1S180.274231	0.851851851851852	0.148148148148148	0.703703703703704
L1S181.274221	0.950738916256158	0.0492610837438424	0.901477832512315
L1S182.274506	0.975247524752475	0.0247524752475248	0.95049504950495
L1S183.274343	0.978494623655914	0.021505376344086	0.956989247311828
L1S184.273919	0.941798941798942	0.0582010582010582	0.883597883597883
L1S185.273473	0.995024875621891	0.00497512437810945	0.990049751243781
L1S186.274486	0.973262032085562	0.0267379679144385	0.946524064171123
L1S187.274092	1	0	1
L1S188.273373	0.994594594594595	0.00540540540540541	0.989189189189189
L1S189.273436	0.988950276243094	0.0110497237569061	0.977900552486188
L1S19.274514	0.988636363636364	0.0113636363636364	0.977272727272727
L1S190.273282	0.983516483516483	0.0164835164835165	0.967032967032967
L1S191.273263	0.981818181818182	0.0181818181818182	0.963636363636364
L1S193.275122	0.988571428571429	0.0114285714285714	0.977142857142857
L1S194.274523	1	0	1
L1S195.273591	0.973684210526316	0.0263157894736842	0.947368421052632
L1S196.273245	1	0	1
L1S197.274086	0.994318181818182	0.00568181818181818	0.988636363636364
L1S198.273806	1	0	1
L1S199.274339	1	0	1
L1S2.274869	0.883720930232558	0.116279069767442	0.767441860465116
L1S20.274555	0.95360824742268	0.0463917525773196	0.907216494845361
L1S200.273384	0.988505747126437	0.0114942528735632	0.977011494252874
L1S201.273866	0.994285714285714	0.00571428571428571	0.988571428571429
L1S202.273285	0.98469387755102	0.0153061224489796	0.969387755102041
L1S203.273731	1	0	1
L1S204.274607	0.994219653179191	0.00578034682080925	0.988439306358381
L1S205.274565	0.994535519125683	0.00546448087431694	0.989071038251366
L1S206.273247	0.995283018867924	0.00471698113207547	0.990566037735849
L1S207.274287	1	0	1
L1S208.274741	0.994252873563218	0.00574712643678161	0.988505747126437
L1S209.273658	1	0	1
L1S21.274476	0.988950276243094	0.0110497237569061	0.977900552486188
L1S210.274468	1	0	1
L1S212.274379	0.994623655913978	0.00537634408602151	0.989247311827957
L1S213.274333	0.988165680473373	0.0118343195266272	0.976331360946746
L1S214.274105	0.985507246376812	0.0144927536231884	0.971014492753623
L1S215.273708	0.982857142857143	0.0171428571428571	0.965714285714286
L1S216.273394	0.994897959183674	0.00510204081632653	0.989795918367347
L1S217.273917	0.906976744186046	0.0930232558139535	0.813953488372093
L1S218.273993	0.994736842105263	0.00526315789473684	0.989473684210526
L1S219.274012	0.995	0.005	0.99
L1S22.273337	0.95360824742268	0.0463917525773196	0.907216494845361
L1S220.273571	0.994318181818182	0.00568181818181818	0.988636363636364
L1S221.274942	1	0	1
L1S222.274663	0.995	0.005	0.99
L1S223.274322	0.972375690607735	0.0276243093922652	0.94475138121547
L1S224.273764	0.993710691823899	0.00628930817610063	0.987421383647799
L1S225.273936	1	0	1
L1S226.273455	0.994845360824742	0.00515463917525773	0.989690721649485
L1S228.273894	1	0	1
L1S229.273973	0.976331360946746	0.0236686390532544	0.952662721893491
L1S23.273699	0.885	0.115	0.77
L1S231.274180	0.994475138121547	0.00552486187845304	0.988950276243094
L1S232.273216	0.994565217391304	0.00543478260869565	0.989130434782609
L1S233.274924	1	0	1
L1S234.275117	1	0	1
L1S235.273608	0.994285714285714	0.00571428571428571	0.988571428571429
L1S236.274787	0.983050847457627	0.0169491525423729	0.966101694915254
L1S237.274775	0.984771573604061	0.0152284263959391	0.969543147208122
L1S238.274649	0.994708994708995	0.00529100529100529	0.989417989417989
L1S239.274267	0.984293193717278	0.0157068062827225	0.968586387434555
L1S24.274100	0.941860465116279	0.0581395348837209	0.883720930232558
L1S240.274975	1	0	1
L1S241.273649	1	0	1
L1S242.273860	0.99390243902439	0.00609756097560976	0.98780487804878
L1S243.274281	0.989528795811518	0.0104712041884817	0.979057591623037
L1S244.274295	1	0	1
L1S245.274903	1	0	1
L1S246.273352	1	0	1
L1S247.273479	0.982954545454545	0.0170454545454545	0.965909090909091
L1S248.273910	1	0	1
L1S249.273545	0.988095238095238	0.0119047619047619	0.976190476190476
L1S25.273273	0.98469387755102	0.0153061224489796	0.969387755102041
L1S250.273986	1	0	1
L1S251.274516	0.994535519125683	0.00546448087431694	0.989071038251366
L1S252.274163	1	0	1
L1S253.274249	1	0	1
L1S254.273387	1	0	1
L1S255.274966	1	0	1
L1S256.274285	0.99468085106383	0.00531914893617021	0.98936170212766
L1S257.273377	1	0	1
L1S258.273240	0.994652406417112	0.0053475935828877	0.989304812834225
L1S259.273813	1	0	1
L1S26.274537	0.987951807228916	0.0120481927710843	0.975903614457831
L1S260.273552	1	0	1
L1S261.274799	0.994535519125683	0.00546448087431694	0.989071038251366
L1S262.273236	0.99438202247191	0.00561797752808989	0.98876404494382
L1S263.274428	1	0	1
L1S264.273320	0.969543147208122	0.0304568527918782	0.939086294416244
L1S266.275167	0.994475138121547	0.00552486187845304	0.988950276243094
L1S267.273765	0.989130434782609	0.0108695652173913	0.978260869565217
L1S268.273415	0.99468085106383	0.00531914893617021	0.98936170212766
L1S269.274498	1	0	1
L1S27.273969	0.977142857142857	0.0228571428571429	0.954285714285714
L1S270.273598	0.98876404494382	0.0112359550561798	0.97752808988764
L1S271.274887	1	0	1
L1S272.274746	0.958333333333333	0.0416666666666667	0.916666666666667
L1S273.274399	0.994623655913978	0.00537634408602151	0.989247311827957
L1S274.273705	0.633879781420765	0.366120218579235	0.26775956284153
L1S275.275069	0.993865030674847	0.00613496932515337	0.987730061349693
L1S276.273690	1	0	1
L1S277.273248	0.994594594594595	0.00540540540540541	0.989189189189189
L1S278.274121	0.994897959183674	0.00510204081632653	0.989795918367347
L1S279.274262	0.989528795811518	0.0104712041884817	0.979057591623037
L1S28.273497	0.947976878612717	0.0520231213872832	0.895953757225433
L1S280.274513	0.955801104972376	0.0441988950276243	0.911602209944751
L1S281.274883	0.994444444444444	0.00555555555555556	0.988888888888889
L1S282.273542	0.988505747126437	0.0114942528735632	0.977011494252874
L1S283.273819	0.971751412429379	0.0282485875706215	0.943502824858757
L1S284.274692	1	0	1
L1S285.274434	1	0	1
L1S286.274014	0.994186046511628	0.00581395348837209	0.988372093023256
L1S287.274018	0.994736842105263	0.00526315789473684	0.989473684210526
L1S289.274926	0.994413407821229	0.00558659217877095	0.988826815642458
L1S29.274586	0.976331360946746	0.0236686390532544	0.952662721893491
L1S290.274811	1	0	1
L1S291.274814	1	0	1
L1S292.273647	0.988571428571429	0.0114285714285714	0.977142857142857
L1S293.275143	1	0	1
L1S294.273585	1	0	1
L1S295.274567	1	0	1
L1S296.273278	0.994047619047619	0.00595238095238095	0.988095238095238
L1S297.274827	0.988888888888889	0.0111111111111111	0.977777777777778
L1S298.274209	1	0	1
L1S299.274893	0.983333333333333	0.0166666666666667	0.966666666666667
L1S3.273687	0.896739130434783	0.103260869565217	0.793478260869565
L1S30.273279	0.965116279069767	0.0348837209302326	0.930232558139535
L1S300.274656	0.993377483443709	0.00662251655629139	0.986754966887417
L1S301.274634	0.994736842105263	0.00526315789473684	0.989473684210526
L1S302.273303	0.989071038251366	0.0109289617486339	0.978142076502732
L1S303.273579	1	0	1
L1S304.273937	0.994285714285714	0.00571428571428571	0.988571428571429
L1S305.273508	0.973684210526316	0.0263157894736842	0.947368421052632
L1S306.274278	0.970414201183432	0.029585798816568	0.940828402366864
L1S307.274201	0.994708994708995	0.00529100529100529	0.989417989417989
L1S308.274545	0.970588235294118	0.0294117647058824	0.941176470588235
L1S309.274009	0.98469387755102	0.0153061224489796	0.969387755102041
L1S31.274299	0.953125	0.046875	0.90625
L1S310.274766	1	0	1
L1S311.273978	0.971751412429379	0.0282485875706215	0.943502824858757
L1S312.273453	0.990476190476191	0.00952380952380952	0.980952380952381
L1S313.273714	1	0	1
L1S314.273495	0.978142076502732	0.0218579234972678	0.956284153005464
L1S315.273440	0.994413407821229	0.00558659217877095	0.988826815642458
L1S316.275138	0.994736842105263	0.00526315789473684	0.989473684210526
L1S317.273874	1	0	1
L1S318.274878	1	0	1
L1S319.274696	1	0	1
L1S32.273346	0.951351351351351	0.0486486486486487	0.902702702702703
L1S320.274114	1	0	1
L1S321.273286	0.98159509202454	0.0184049079754601	0.96319018404908
L1S322.273615	0.99438202247191	0.00561797752808989	0.98876404494382
L1S323.274552	1	0	1
L1S324.274332	1	0	1
L1S325.273290	0.988700564971751	0.0112994350282486	0.977401129943503
L1S326.273313	1	0	1
L1S327.275047	0.988571428571429	0.0114285714285714	0.977142857142857
L1S328.274091	1	0	1
L1S329.274894	0.994505494505495	0.00549450549450549	0.989010989010989
L1S33.274904	0.919753086419753	0.0802469135802469	0.839506172839506
L1S330.274950	1	0	1
L1S331.274029	0.994082840236686	0.00591715976331361	0.988165680473373
L1S332.273671	0.994350282485876	0.00564971751412429	0.988700564971752
L1S333.274171	0.994285714285714	0.00571428571428571	0.988571428571429
L1S334.273724	0.659217877094972	0.340782122905028	0.318435754189944
L1S335.273841	0.989189189189189	0.0108108108108108	0.978378378378378
L1S336.273230	1	0	1
L1S337.273287	1	0	1
L1S338.273528	1	0	1
L1S339.274501	0.994117647058824	0.00588235294117647	0.988235294117647
L1S34.274509	0.973821989528796	0.0261780104712042	0.947643979057592
L1S340.274616	0.995049504950495	0.00495049504950495	0.99009900990099
L1S341.274763	1	0	1
L1S342.273734	1	0	1
L1S343.274134	1	0	1
L1S344.274360	1	0	1
L1S345.274745	1	0	1
L1S346.273710	0.994708994708995	0.00529100529100529	0.989417989417989
L1S347.273632	0.994736842105263	0.00526315789473684	0.989473684210526
L1S348.273330	0.981927710843373	0.0180722891566265	0.963855421686747
L1S349.273679	1	0	1
L1S35.274335	0.931818181818182	0.0681818181818182	0.863636363636364
L1S350.274305	1	0	1
L1S351.274053	0.985148514851485	0.0148514851485149	0.97029702970297
L1S352.275035	1	0	1
L1S353.275012	0.983333333333333	0.0166666666666667	0.966666666666667
L1S354.274130	0.978494623655914	0.021505376344086	0.956989247311828
L1S355.273704	1	0	1
L1S356.274526	0.989247311827957	0.010752688172043	0.978494623655914
L1S357.274041	1	0	1
L1S358.273815	0.98876404494382	0.0112359550561798	0.97752808988764
L1S359.274297	0.983957219251337	0.0160427807486631	0.967914438502674
L1S36.273590	0.962162162162162	0.0378378378378378	0.924324324324324
L1S360.273952	0.977142857142857	0.0228571428571429	0.954285714285714
L1S361.274485	0.984375	0.015625	0.96875
L1S362.274650	0.994350282485876	0.00564971751412429	0.988700564971752
L1S363.274890	0.984126984126984	0.0158730158730159	0.968253968253968
L1S364.275003	1	0	1
L1S365.273336	0.982558139534884	0.0174418604651163	0.965116279069767
L1S366.274312	0.987951807228916	0.0120481927710843	0.975903614457831
L1S367.274179	1	0	1
L1S368.274020	1	0	1
L1S369.274936	1	0	1
L1S37.274627	0.967914438502674	0.0320855614973262	0.935828877005348
L1S370.274873	0.98314606741573	0.0168539325842697	0.966292134831461
L1S371.275038	0.994594594594595	0.00540540540540541	0.989189189189189
L1S372.273563	0.947368421052632	0.0526315789473684	0.894736842105263
L1S374.273604	0.930851063829787	0.0691489361702128	0.861702127659574
L1S375.275063	0.988950276243094	0.0110497237569061	0.977900552486188
L1S376.273829	1	0	1
L1S378.274245	0.994736842105263	0.00526315789473684	0.989473684210526
L1S379.273907	1	0	1
L1S38.273790	0.978378378378378	0.0216216216216216	0.956756756756757
L1S380.274329	1	0	1
L1S381.274884	0.994444444444444	0.00555555555555556	0.988888888888889
L1S382.274559	0.994285714285714	0.00571428571428571	0.988571428571429
L1S383.274632	0.994974874371859	0.0050251256281407	0.989949748743719
L1S39.273758	0.940860215053763	0.0591397849462366	0.881720430107527
L1S4.273385	0.931428571428571	0.0685714285714286	0.862857142857143
L1S40.273512	0.966666666666667	0.0333333333333333	0.933333333333333
L1S41.273743	1	0	1
L1S42.273626	0.99468085106383	0.00531914893617021	0.98936170212766
L1S43.274004	0.956756756756757	0.0432432432432432	0.913513513513514
L1S44.274905	0.961748633879781	0.0382513661202186	0.923497267759563
L1S45.273912	0.983783783783784	0.0162162162162162	0.967567567567568
L1S46.275163	0.970414201183432	0.029585798816568	0.940828402366864
L1S47.273623	0.938461538461538	0.0615384615384615	0.876923076923077
L1S48.274804	0.952662721893491	0.0473372781065089	0.905325443786982
L1S49.273695	0.972222222222222	0.0277777777777778	0.944444444444444
L1S5.274234	0.946524064171123	0.053475935828877	0.893048128342246
L1S50.274303	0.988372093023256	0.0116279069767442	0.976744186046512
L1S51.274027	0.958549222797927	0.0414507772020725	0.917098445595855
L1S52.273539	0.962765957446808	0.0372340425531915	0.925531914893617
L1S53.273606	0.984771573604061	0.0152284263959391	0.969543147208122
L1S54.273348	0.99438202247191	0.00561797752808989	0.98876404494382
L1S55.273531	0.989690721649485	0.0103092783505155	0.979381443298969
L1S56.273967	0.98876404494382	0.0112359550561798	0.97752808988764
L1S57.275149	0.989304812834225	0.0106951871657754	0.978609625668449
L1S58.275015	0.95	0.05	0.9
L1S59.275053	0.973684210526316	0.0263157894736842	0.947368421052632
L1S6.274392	0.962962962962963	0.037037037037037	0.925925925925926
L1S60.274493	0.967567567567568	0.0324324324324324	0.935135135135135
L1S61.273389	0.974489795918367	0.0255102040816327	0.948979591836735
L1S62.273992	0.989417989417989	0.0105820105820106	0.978835978835979
L1S63.274199	0.955801104972376	0.0441988950276243	0.911602209944751
L1S64.274666	0.951807228915663	0.0481927710843374	0.903614457831325
L1S65.274694	0.978378378378378	0.0216216216216216	0.956756756756757
L1S66.273306	0.994652406417112	0.0053475935828877	0.989304812834225
L1S67.273723	0.946428571428571	0.0535714285714286	0.892857142857143
L1S68.275111	0.988439306358382	0.0115606936416185	0.976878612716763
L1S69.274960	0.952631578947368	0.0473684210526316	0.905263157894737
L1S7.274850	0.926136363636364	0.0738636363636364	0.852272727272727
L1S70.274844	0.956756756756757	0.0432432432432432	0.913513513513514
L1S71.275087	0.921787709497207	0.0782122905027933	0.843575418994413
L1S72.274363	0.988826815642458	0.0111731843575419	0.977653631284916
L1S73.274502	0.958579881656805	0.0414201183431953	0.917159763313609
L1S74.274032	0.962962962962963	0.037037037037037	0.925925925925926
L1S75.273762	0.984042553191489	0.0159574468085106	0.968085106382979
L1S76.274250	0.965909090909091	0.0340909090909091	0.931818181818182
L1S77.274342	0.973262032085562	0.0267379679144385	0.946524064171123
L1S78.274362	0.994011976047904	0.00598802395209581	0.988023952095808
L1S79.273707	0.957219251336898	0.0427807486631016	0.914438502673797
L1S8.273930	0.977777777777778	0.0222222222222222	0.955555555555555
L1S80.274164	0.951871657754011	0.0481283422459893	0.903743315508021
L1S81.275041	0.957317073170732	0.0426829268292683	0.914634146341463
L1S82.274709	0.859375	0.140625	0.71875
L1S83.274077	0.994475138121547	0.00552486187845304	0.988950276243094
L1S84.274271	0.978260869565217	0.0217391304347826	0.956521739130435
L1S85.273291	0.982558139534884	0.0174418604651163	0.965116279069767
L1S86.273417	0.989583333333333	0.0104166666666667	0.979166666666667
L1S87.273667	0.964467005076142	0.0355329949238579	0.928934010152284
L1S88.273651	0.994791666666667	0.00520833333333333	0.989583333333333
L1S89.273535	0.994219653179191	0.00578034682080925	0.988439306358381
L1S9.274892	0.977777777777778	0.0222222222222222	0.955555555555555
L1S90.273946	0.985576923076923	0.0144230769230769	0.971153846153846
L1S91.273638	0.989690721649485	0.0103092783505155	0.979381443298969
L1S92.274475	0.972067039106145	0.0279329608938547	0.94413407821229
L1S93.274999	0.977777777777778	0.0222222222222222	0.955555555555555
L1S94.274719	0.972677595628415	0.0273224043715847	0.945355191256831
L1S95.273271	0.984210526315789	0.0157894736842105	0.968421052631579
L1S97.274918	0.976190476190476	0.0238095238095238	0.952380952380952
L1S98.273755	0.942857142857143	0.0571428571428571	0.885714285714286
L1S99.273974	0.977142857142857	0.0228571428571429	0.954285714285714
L6S329.274368	0.981042654028436	0.018957345971564	0.962085308056872
L6S330.274280	0.98314606741573	0.0168539325842697	0.966292134831461
L6S331.273351	0.989473684210526	0.0105263157894737	0.978947368421053
